#{"t_start": 1722321975.7467675, "env_id": "None"}
r,l,t,is_success,Fidelity
-130.0,130,543.207926,False,0.3553984761238098
-130.0,130,545.152071,False,0.39981308579444885
-130.0,130,547.138159,False,0.9192832708358765
-130.0,130,549.2284,False,0.5851143598556519
-46.0,47,549.988085,True,0.9917429685592651
-130.0,130,552.116962,False,0.34184738993644714
-130.0,130,554.224217,False,0.4673823118209839
-130.0,130,556.262551,False,0.3686651885509491
-130.0,130,558.124606,False,0.4539583921432495
-130.0,130,560.058259,False,0.36346152424812317
-130.0,130,562.013995,False,0.7653326392173767
-130.0,130,563.929297,False,0.3473161458969116
-130.0,130,565.839689,False,0.4735228419303894
-130.0,130,567.859719,False,0.8757731914520264
-130.0,130,569.831781,False,0.35584428906440735
-130.0,130,571.926925,False,0.5935953259468079
-130.0,130,574.956802,False,0.3425229489803314
-130.0,130,576.859241,False,0.3567044734954834
-130.0,130,578.567502,False,0.5329077243804932
-130.0,130,580.400882,False,0.6384856104850769
-130.0,130,582.303303,False,0.8655204772949219
-130.0,130,584.123088,False,0.5769540667533875
-130.0,130,586.01884,False,0.3678252696990967
-130.0,130,587.843167,False,0.7553902864456177
-130.0,130,589.650531,False,0.7604174613952637
-130.0,130,591.567246,False,0.33054399490356445
-130.0,130,593.351862,False,0.33636030554771423
-130.0,130,595.254309,False,0.36430805921554565
-130.0,130,597.081765,False,0.34584811329841614
-57.0,58,597.844356,True,0.9920792579650879
-130.0,130,599.670817,False,0.3524191379547119
-130.0,130,601.513177,False,0.3797648847103119
-130.0,130,604.074564,False,0.38790491223335266
-130.0,130,605.956354,False,0.36661964654922485
-130.0,130,607.896882,False,0.35261252522468567
-110.0,111,609.520245,True,0.9917544722557068
-130.0,130,611.406759,False,0.47716957330703735
-130.0,130,613.319185,False,0.4600769877433777
-130.0,130,615.277425,False,0.4292120933532715
-130.0,130,617.114987,False,0.6369486451148987
-130.0,130,618.914411,False,0.5917831659317017
-130.0,130,620.801883,False,0.3603269159793854
-130.0,130,622.607762,False,0.42122000455856323
-130.0,130,624.559855,False,0.3667179048061371
-130.0,130,626.57767,False,0.36899682879447937
-130.0,130,628.50297,False,0.3874512016773224
-130.0,130,630.427047,False,0.3531590402126312
-130.0,130,632.364485,False,0.3307972550392151
-130.0,130,635.144293,False,0.7715657949447632
-130.0,130,637.051678,False,0.34693363308906555
-130.0,130,638.96833,False,0.7337236404418945
-130.0,130,640.873669,False,0.39795276522636414
-130.0,130,642.747695,False,0.3316783905029297
-130.0,130,644.627789,False,0.5082607269287109
-130.0,130,646.541249,False,0.522930920124054
-130.0,130,648.371362,False,0.546502411365509
-130.0,130,650.578611,False,0.34649592638015747
-130.0,130,652.747452,False,0.7369600534439087
-130.0,130,654.883552,False,0.535368025302887
-130.0,130,657.17792,False,0.46812787652015686
-121.0,122,659.096403,True,0.9973768591880798
-130.0,130,661.190578,False,0.48051074147224426
-130.0,130,663.428701,False,0.6571467518806458
-130.0,130,665.467398,False,0.3965532183647156
-130.0,130,668.213048,False,0.4306693375110626
-130.0,130,670.029491,False,0.482040673494339
-130.0,130,671.956237,False,0.3570827543735504
-130.0,130,673.821148,False,0.4654867947101593
-130.0,130,675.668473,False,0.479973167181015
-130.0,130,677.5748,False,0.8721105456352234
-130.0,130,679.480472,False,0.5512640476226807
-130.0,130,681.327851,False,0.44630467891693115
-72.0,73,682.348569,True,0.992183268070221
-130.0,130,684.243989,False,0.716072142124176
-130.0,130,686.112042,False,0.33635368943214417
-130.0,130,688.030855,False,0.3581705391407013
-130.0,130,689.945649,False,0.41277000308036804
-130.0,130,691.860085,False,0.3384614884853363
-130.0,130,693.764921,False,0.6617802977561951
-130.0,130,695.732939,False,0.941815972328186
-130.0,130,698.382725,False,0.34601157903671265
-130.0,130,700.27839,False,0.6508538126945496
-130.0,130,702.121127,False,0.3508667051792145
-71.0,72,703.191087,True,0.9946589469909668
-130.0,130,705.083853,False,0.3615797162055969
-130.0,130,706.98624,False,0.5337989330291748
-105.0,106,708.61475,True,0.9965552687644958
-130.0,130,710.527973,False,0.353106290102005
-130.0,130,712.423559,False,0.39427515864372253
-130.0,130,714.35311,False,0.34561413526535034
